category;subject;content
Produtivo;URGENTE: Erro de login no módulo Gestão de Atlas.;Olá, O sistema de login do módulo Gestão de Atlas está inacessível desde as 9h. Os usuários estão recebendo o erro 'Falha Sideral 408'. Por favor, priorizem a correção e nos avisem sobre o prazo estimado. Anexo o print do erro. Obrigado.
Produtivo;Solicitação de orçamento - Geração de Cristal.;Prezado(a), Gostaria de solicitar um orçamento formal para o desenvolvimento da funcionalidade 'Geração de Cristal em PDF' conforme as especificações no anexo. Aguardo o documento com a discriminação de custos e prazo de entrega até amanhã. Atenciosamente.
Produtivo;Dúvida sobre o procedimento de Crono-Iniciação.;Olá, No novo procedimento de Crono-Iniciação, a Etapa 4 (Validação de Selos) exige a assinatura digital de dois gestores. Poderia me indicar qual sistema devemos usar para essa assinatura e se há um tutorial disponível? Preciso finalizar o processo hoje. Grato(a).
Produtivo;Feedback pendente para aprovação do design Aurora.;Prezado(a), O prazo para aprovação do design Aurora do site se encerra hoje às 17h. Sua validação é crucial para seguirmos com a fase de desenvolvimento. Por favor, analise a prévia no link www.design-aurora/preview e confirme sua aprovação ou envie seus ajustes pendentes. Obrigado.
Produtivo;Agendamento de Reunião de Start-up Cósmico.;Olá Equipe, Proponho três horários para nossa reunião de Start-up Cósmico na próxima semana para alinhar as primeiras ações do projeto Zeta. Por favor, respondam a este e-mail indicando sua preferência: Opção 1: Terça-feira, 14h. Opção 2: Quarta-feira, 10h. Opção 3: Quinta-feira, 16h. Aguardo a confirmação da maioria. Abs.
Produtivo;Dados ausentes no Relatório Lunar de Vendas.;Olá, Ao revisar o Relatório Lunar de Vendas (Janeiro), notei que os dados da região Planalto Central estão ausentes. Poderia verificar a fonte de dados e reenviar o relatório completo o mais rápido possível? Precisamos desses números para a reunião das 14h. Obrigado.
Produtivo;Problema no acesso à Nexus-VPN - Urgente.;Prezado Suporte, Não consigo acessar a rede corporativa via Nexus-VPN desde ontem à noite. Minha senha foi resetada, mas o problema persiste. Por favor, entre em contato comigo (ramal 5555) para que eu possa passar mais detalhes e recuperar meu acesso. Urgente.
Produtivo;Confirmação de recebimento da Proposta Comercial.;Olá, Gostaria de confirmar se você recebeu a Proposta Comercial que enviei ontem, referente aos nossos serviços. Se sim, poderia, por favor, me indicar um prazo para análise ou se há alguma dúvida inicial? Fico à disposição. Atenciosamente.
Produtivo;Pedido de alteração no cronograma - Módulo Ômega.;Prezado(a), Em função de um atraso na entrega de insumos, precisamos solicitar uma alteração no cronograma do Módulo Ômega. Sugerimos adiar a entrega final em 3 dias úteis. Por favor, avalie o impacto e nos retorne com a sua aprovação até o fim do dia. Grato(a).
Produtivo;Esclarecimento sobre a cláusula 'Responsabilidade Cósmica' do Contrato Júpiter.;Olá Jurídico, No Anexo de Saturno do Contrato Júpiter, há uma cláusula sobre 'Responsabilidade Cósmica' que não está clara para nossa equipe. Poderiam esclarecer a interpretação legal dessa cláusula e se ela se aplica ao nosso caso? Precisamos dessa informação para a assinatura final. Obrigado.
